Date,Close,Volume
2025-03-07T07:04:00.000Z,"1,681.05","10,781.00"
2025-03-07T07:05:00.000Z,"1,680.65","22,750.00"
2025-03-07T07:06:00.000Z,"1,681.35","16,517.00"
2025-03-07T07:07:00.000Z,"1,682.70","20,467.00"
2025-03-07T07:08:00.000Z,"1,682.25","18,929.00"
2025-03-07T07:09:00.000Z,"1,682.30","11,578.00"
2025-03-07T07:10:00.000Z,"1,681.10","39,883.00"
2025-03-07T07:11:00.000Z,"1,683.35","24,987.00"
2025-03-07T07:12:00.000Z,"1,681.85","31,970.00"
2025-03-07T07:13:00.000Z,"1,682.75","11,766.00"
2025-03-07T07:14:00.000Z,"1,683.00","12,631.00"
2025-03-07T07:15:00.000Z,"1,683.05","10,896.00"
2025-03-07T07:16:00.000Z,"1,681.50","15,886.00"
2025-03-07T07:17:00.000Z,"1,681.15","9,783.00"
2025-03-07T07:18:00.000Z,"1,681.65","19,802.00"
2025-03-07T07:19:00.000Z,"1,681.50","15,036.00"
2025-03-07T07:20:00.000Z,"1,681.90","13,234.00"
2025-03-07T07:21:00.000Z,"1,682.15","15,156.00"
2025-03-07T07:22:00.000Z,"1,681.90","13,044.00"
2025-03-07T07:23:00.000Z,"1,682.20","16,185.00"
2025-03-07T07:24:00.000Z,"1,681.90","22,421.00"
2025-03-07T07:25:00.000Z,"1,682.10","10,249.00"
2025-03-07T07:26:00.000Z,"1,682.80","15,097.00"
2025-03-07T07:27:00.000Z,"1,683.00","31,289.00"
2025-03-07T07:28:00.000Z,"1,683.90","21,525.00"
2025-03-07T07:29:00.000Z,"1,683.70","13,229.00"
2025-03-07T07:30:00.000Z,"1,683.00","11,516.00"
2025-03-07T07:31:00.000Z,"1,684.00","16,306.00"
2025-03-07T07:32:00.000Z,"1,682.35","13,158.00"
2025-03-07T07:33:00.000Z,"1,682.85","21,012.00"
2025-03-07T07:34:00.000Z,"1,683.15","18,938.00"
2025-03-07T07:35:00.000Z,"1,683.85","15,203.00"
2025-03-07T07:36:00.000Z,"1,683.85","12,212.00"
2025-03-07T07:37:00.000Z,"1,683.85","8,181.00"
2025-03-07T07:38:00.000Z,"1,683.90","14,650.00"
2025-03-07T07:39:00.000Z,"1,683.90","9,249.00"
2025-03-07T07:40:00.000Z,"1,683.35","15,001.00"
2025-03-07T07:41:00.000Z,"1,684.20","19,250.00"
2025-03-07T07:42:00.000Z,"1,683.70","13,432.00"
2025-03-07T07:43:00.000Z,"1,683.75","7,262.00"
2025-03-07T07:44:00.000Z,"1,683.95","20,013.00"
2025-03-07T07:45:00.000Z,"1,684.25","11,630.00"
2025-03-07T07:46:00.000Z,"1,684.25","7,256.00"
2025-03-07T07:47:00.000Z,"1,684.30","13,563.00"
2025-03-07T07:48:00.000Z,"1,685.15","22,025.00"
2025-03-07T07:49:00.000Z,"1,685.75","17,068.00"
2025-03-07T07:50:00.000Z,"1,685.90","20,172.00"
2025-03-07T07:51:00.000Z,"1,686.25",
